#  BAND   46          
#EF=   0.00000     NDOS= 5     NENRG=  592    Gaussian bradening: 0.00300
# ENERGY    2:DZ2          2:DXY          2:DX2Y2        2:DXZ+DYZ      2:DXZ+DYZ   
  -5.86188    0.00192421    0.07275371    0.35731143    0.05381794    0.05381794
  -5.83467    0.00187689    0.07201380    0.30705377    0.05357760    0.05357760
  -5.80746    0.00175956    0.07026401    0.25430712    0.05150608    0.05150608
  -5.78024    0.00160119    0.06736663    0.19965333    0.04793521    0.04793521
  -5.75303    0.00144373    0.06380224    0.14835119    0.04371609    0.04371609
  -5.72582    0.00132582    0.06044696    0.10617259    0.03971698    0.03971698
  -5.69861    0.00126889    0.05806445    0.07556137    0.03640084    0.03640084
  -5.67140    0.00127638    0.05696643    0.05534416    0.03379563    0.03379563
  -5.64419    0.00134205    0.05705550    0.04277094    0.03173180    0.03173180
  -5.61698    0.00145791    0.05805216    0.03525263    0.03008843    0.03008843
  -5.58976    0.00161852    0.05966451    0.03098385    0.02888414    0.02888414
  -5.56255    0.00182390    0.06165649    0.02872522    0.02826624    0.02826624
  -5.53534    0.00208218    0.06387560    0.02768083    0.02848835    0.02848835
  -5.50813    0.00240448    0.06622449    0.02733081    0.02980823    0.02980823
  -5.48092    0.00279471    0.06856035    0.02727534    0.03236288    0.03236288
  -5.45371    0.00324005    0.07059953    0.02722417    0.03611304    0.03611304
  -5.42650    0.00371083    0.07193153    0.02704975    0.04090874    0.04090874
  -5.39928    0.00416839    0.07219769    0.02679803    0.04669345    0.04669345
  -5.37207    0.00457615    0.07134813    0.02665049    0.05369966    0.05369966
  -5.34486    0.00490709    0.06976067    0.02684765    0.06287490    0.06287490
  -5.31765    0.00514483    0.06804347    0.02763613    0.07627597    0.07627597
  -5.29044    0.00528309    0.06664010    0.02921533    0.09680796    0.09680796
  -5.26323    0.00532719    0.06558540    0.03163962    0.12727819    0.12727819
  -5.23602    0.00529663    0.06462760    0.03464406    0.16865888    0.16865888
  -5.20881    0.00522379    0.06348933    0.03753539    0.21830243    0.21830243
  -5.18159    0.00514748    0.06195924    0.03936959    0.26896906    0.26896906
  -5.15438    0.00510528    0.05985467    0.03944871    0.31034839    0.31034839
  -5.12717    0.00512841    0.05712133    0.03780399    0.33368835    0.33368835
  -5.09996    0.00524199    0.05413360    0.03521612    0.33699816    0.33699816
  -5.07275    0.00546780    0.05188766    0.03278053    0.32641852    0.32641852
  -5.04554    0.00582547    0.05170974    0.03135556    0.31211677    0.31211677
  -5.01833    0.00632865    0.05465822    0.03122094    0.30273762    0.30273762
  -4.99111    0.00697354    0.06088425    0.03202213    0.30188966    0.30188966
  -4.96390    0.00772677    0.06940649    0.03295114    0.30781108    0.30781108
  -4.93669    0.00851900    0.07829031    0.03313133    0.31499475    0.31499469
  -4.90948    0.00925157    0.08530110    0.03201880    0.31657198    0.31657198
  -4.88227    0.00982136    0.08879049    0.02958577    0.30751488    0.30751488
  -4.85506    0.01015860    0.08839642    0.02621092    0.28689191    0.28689191
  -4.82785    0.01025782    0.08512893    0.02244519    0.25786555    0.25786555
  -4.80063    0.01017715    0.08073497    0.01880239    0.22560318    0.22560318
  -4.77342    0.01000154    0.07675294    0.01562452    0.19483489    0.19483489
  -4.74621    0.00979767    0.07385444    0.01304556    0.16834359    0.16834359
  -4.71900    0.00959500    0.07182633    0.01102859    0.14681107    0.14681107
  -4.69179    0.00939724    0.07005816    0.00946289    0.12972249    0.12972249
  -4.66458    0.00919978    0.06802519    0.00823800    0.11612152    0.11612152
  -4.63737    0.00899888    0.06556401    0.00726884    0.10518043    0.10518043
  -4.61015    0.00879112    0.06280290    0.00649595    0.09625418    0.09625418
  -4.58294    0.00857256    0.06003936    0.00587901    0.08887541    0.08887541
  -4.55573    0.00834055    0.05761958    0.00539304    0.08289881    0.08289881
  -4.52852    0.00809731    0.05581451    0.00503592    0.07827362    0.07827362
  -4.50131    0.00785406    0.05470174    0.00484902    0.07463191    0.07463191
  -4.47410    0.00764094    0.05407977    0.00506287    0.07102755    0.07102755
  -4.44689    0.00751780    0.05356369    0.00614891    0.06636684    0.06636684
  -4.41967    0.00757184    0.05282839    0.00905811    0.06025509    0.06025509
  -4.39246    0.00787656    0.05179563    0.01506163    0.05330732    0.05330732
  -4.36525    0.00842638    0.05059896    0.02497827    0.04658455    0.04658455
  -4.33804    0.00910851    0.04940943    0.03808187    0.04083141    0.04083141
  -4.31083    0.00976530    0.04831644    0.05184592    0.03623381    0.03623381
  -4.28362    0.01029420    0.04732385    0.06325698    0.03264238    0.03264238
  -4.25641    0.01071015    0.04639296    0.07070944    0.02987720    0.02987720
  -4.22919    0.01108596    0.04547156    0.07458556    0.02780510    0.02780510
  -4.20198    0.01143079    0.04450423    0.07620455    0.02630506    0.02630506
  -4.17477    0.01161559    0.04347267    0.07651773    0.02526392    0.02526392
